mkt_ccode,dep_airport,cancel_code,arr_airport,day_week_name,month__name,route,mkt_fl_no,date,dep_delay_time_actual,arr_delay_time_actual,mins_late_delay_code_e_carrier,mins_late_delay_code_f_weather,mins_late_delay_code_g_nas,mins_late_delay_code_h_security,mins_late_delay_code_i_late_arr_flight,delay
DL,BOS,0,LGA,Fri,Jun,BOS-LGA,5806,6/10/22,-3,-12,0,0,0,0,0,0
DL,DEN,0,DTW,Fri,Sep,DEN-DTW,2663,9/23/22,0,-21,0,0,0,0,0,0
DL,ATL,0,SAV,Sat,Aug,ATL-SAV,2743,8/13/22,-1,5,0,0,0,0,0,1
DL,SRQ,0,ATL,Wed,Apr,SRQ-ATL,2272,4/20/22,-2,-11,0,0,0,0,0,0
DL,MCI,0,ATL,Mon,Jul,MCI-ATL,1081,7/18/22,105,96,96,0,0,0,0,1
DL,ATL,0,ROC,Sun,Apr,ATL-ROC,2397,4/17/22,2,21,0,0,21,0,0,1
DL,SBN,0,ATL,Tue,Jun,SBN-ATL,3570,6/7/22,190,201,201,0,0,0,0,1
DL,LGA,0,DCA,Tue,Sep,LGA-DCA,5676,9/20/22,-5,-25,0,0,0,0,0,0
DL,EYW,0,ATL,Fri,May,EYW-ATL,2462,5/13/22,-20,-9,0,0,0,0,0,0
DL,SFO,0,MSP,Thu,Jul,SFO-MSP,1152,7/21/22,-6,-15,0,0,0,0,0,0
DL,SEA,0,EUG,Sun,Jan,SEA-EUG,4117,1/9/22,-10,-18,0,0,0,0,0,0
DL,DCA,0,LGA,Wed,Aug,DCA-LGA,5780,8/3/22,-6,-4,0,0,0,0,0,0
DL,STL,0,DTW,Mon,Jan,STL-DTW,3675,1/24/22,25,33,0,33,0,0,0,1
DL,DTW,0,DEN,Sat,Mar,DTW-DEN,892,3/12/22,45,44,42,0,0,0,2,1
DL,SDF,0,ATL,Tue,Jan,SDF-ATL,2417,1/18/22,-5,-24,0,0,0,0,0,0
DL,SLC,0,RNO,Mon,Jan,SLC-RNO,3653,1/24/22,-8,-11,0,0,0,0,0,0
DL,MFR,0,SEA,Tue,May,MFR-SEA,3944,5/10/22,-1,-7,0,0,0,0,0,0
DL,ATL,0,MKE,Sat,May,ATL-MKE,2185,5/21/22,-1,-15,0,0,0,0,0,0
DL,DTW,0,LAS,Sat,Sep,DTW-LAS,804,9/17/22,-6,-3,0,0,0,0,0,0
DL,ATL,0,TPA,Thu,Apr,ATL-TPA,2211,4/14/22,-5,-12,0,0,0,0,0,0
DL,LIT,0,ATL,Thu,Mar,LIT-ATL,2073,3/17/22,19,17,17,0,0,0,0,1
DL,BOS,0,DCA,Sat,Mar,BOS-DCA,5779,3/19/22,30,7,0,0,0,0,0,1
DL,DTW,0,RDU,Thu,Aug,DTW-RDU,698,8/25/22,-6,-13,0,0,0,0,0,0
DL,MKE,0,LGA,Fri,Jul,MKE-LGA,5130,7/15/22,-6,-10,0,0,0,0,0,0
DL,MSP,0,OKC,Fri,Feb,MSP-OKC,3791,2/11/22,-2,-16,0,0,0,0,0,0
DL,DTW,0,SCE,Mon,Mar,DTW-SCE,3889,3/7/22,0,49,49,0,0,0,0,1
DL,SFO,0,LAX,Tue,Apr,SFO-LAX,3590,4/26/22,0,-4,0,0,0,0,0,0
DL,LGB,0,SLC,Tue,May,LGB-SLC,3933,5/10/22,-3,-16,0,0,0,0,0,0
DL,SAN,0,MSP,Sat,Jun,SAN-MSP,898,6/4/22,-3,-5,0,0,0,0,0,0
DL,MLI,0,ATL,Sun,May,MLI-ATL,4843,5/22/22,-7,-18,0,0,0,0,0,0
DL,MCI,0,ATL,Tue,Jun,MCI-ATL,2887,6/7/22,0,-3,0,0,0,0,0,0
DL,PHX,0,DTW,Sun,Sep,PHX-DTW,1102,9/18/22,-5,-28,0,0,0,0,0,0
DL,ANC,0,SEA,Sat,Aug,ANC-SEA,2806,8/27/22,32,-1,0,0,0,0,0,0
DL,CLT,0,SLC,Fri,Apr,CLT-SLC,1064,4/1/22,-5,-41,0,0,0,0,0,0
DL,RIC,0,DTW,Sun,Feb,RIC-DTW,4730,2/13/22,-5,-24,0,0,0,0,0,0
DL,IDA,0,SLC,Sun,Aug,IDA-SLC,3559,8/7/22,-4,-13,0,0,0,0,0,0
DL,IAD,0,ATL,Sat,Jan,IAD-ATL,1418,1/29/22,208,179,179,0,0,0,0,1
DL,MSP,0,ATL,Mon,Aug,MSP-ATL,426,8/22/22,-1,-18,0,0,0,0,0,0
DL,SLC,0,LAX,Wed,Jun,SLC-LAX,1412,6/1/22,-6,-13,0,0,0,0,0,0
DL,MSP,0,MOT,Wed,Jul,MSP-MOT,3643,7/6/22,-1,-6,0,0,0,0,0,0
DL,MSP,0,MEM,Sun,May,MSP-MEM,3803,5/22/22,-2,-3,0,0,0,0,0,0
DL,ATL,0,RNO,Tue,Jan,ATL-RNO,1106,1/4/22,27,43,27,0,16,0,0,1
DL,ATL,0,ILM,Mon,Jan,ATL-ILM,5085,1/17/22,3,-4,0,0,0,0,0,0
DL,MDW,0,DTW,Tue,Jan,MDW-DTW,5322,1/25/22,-13,-19,0,0,0,0,0,0
DL,MSP,0,STL,Tue,Mar,MSP-STL,1423,3/29/22,-15,-19,0,0,0,0,0,0
DL,ATL,0,ELP,Tue,Jan,ATL-ELP,884,1/18/22,-4,-16,0,0,0,0,0,0
DL,LAS,0,SLC,Mon,Jul,LAS-SLC,1397,7/18/22,13,21,0,0,8,0,13,1
DL,ALB,0,LGA,Thu,Sep,ALB-LGA,4916,9/1/22,-4,-10,0,0,0,0,0,0
